,Rang,Réseau,Station,Trafic,Correspondance_1,Correspondance_2,Correspondance_3,Correspondance_4,Correspondance_5,Ville,Arrondissement pour Paris,NB_CORR
186,154,Métro,ANATOLE FRANCE,1668656,3,0,0,0.0,0.0,Levallois-Perret,0.0,1
187,159,Métro,COMMERCE,1616379,8,0,0,0.0,0.0,Paris,15.0,1
188,161,Métro,SENTIER,1601006,3,0,0,0.0,0.0,Paris,3.0,1
189,162,Métro,BOULOGNE-PONT DE SAINT-CLOUD,1588193,10,0,0,0.0,0.0,Boulogne Billancourt,0.0,1
190,172,Métro,MARX DORMOY,1544166,12,0,0,0.0,0.0,Paris,18.0,1
191,177,Métro,LA FOURCHE,1499508,13,0,0,0.0,0.0,Paris,8.0,1
192,180,Métro,PORTE D'ITALIE,1458709,7,0,0,0.0,0.0,Paris,13.0,1
193,183,Métro,BOURSE,1417882,3,0,0,0.0,0.0,Paris,2.0,1
194,196,Métro,CORENTIN CARIOU,1329810,7,0,0,0.0,0.0,Paris,19.0,1
195,218,Métro,SAINT-SULPICE,1196573,4,0,0,0.0,0.0,Paris,6.0,1
196,220,Métro,TELEGRAPHE,1194040,11,0,0,0.0,0.0,Paris,20.0,1
197,227,Métro,RICHARD LENOIR,1148587,5,0,0,0.0,0.0,Paris,11.0,1
198,230,Métro,MICHEL-ANGE-AUTEUIL,1131814,9,10,0,0.0,0.0,Paris,16.0,2
199,231,Métro,LOURMEL,1120497,8,0,0,0.0,0.0,Paris,15.0,1
200,234,Métro,BUZENVAL,1080500,9,0,0,0.0,0.0,Paris,20.0,1
201,238,Métro,AVRON,1034013,2,0,0,0.0,0.0,Paris,11.0,1
202,246,Métro,MAISON BLANCHE,955254,7,0,0,0.0,0.0,Paris,13.0,1
203,256,Métro,MONCEAU,902347,2,0,0,0.0,0.0,Paris,17.0,1
204,257,Métro,SAINT-JACQUES,900155,6,0,0,0.0,0.0,Paris,13.0,1
205,258,Métro,MOUTON-DUVERNET,870679,4,0,0,0.0,0.0,Paris,14.0,1
206,270,Métro,PIERRE CURIE,780043,7,0,0,0.0,0.0,Ivry,0.0,1
207,275,Métro,CITE,741182,4,0,0,0.0,0.0,Paris,4.0,1
208,276,Métro,LIEGE,740144,13,0,0,0.0,0.0,Paris,8.0,1
209,280,Métro,CARDINAL LEMOINE,710141,10,0,0,0.0,0.0,Paris,5.0,1
210,287,Métro,QUAI DE LA RAPEE,525558,5,0,0,0.0,0.0,Paris,12.0,1
211,289,Métro,SAINT-GEORGES,523670,12,0,0,0.0,0.0,Paris,9.0,1
212,13,Métro,HOTEL DE VILLE,5673100,1,11,0,0.0,0.0,Paris,4.0,2
213,296,Métro,CHARDON-LAGACHE,331901,10,0,0,0.0,0.0,Paris,16.0,1
214,18,Métro,MAIRIE DE MONTREUIL,4764601,9,0,0,0.0,0.0,Montreuil,0.0,1
215,303,Métro,PONT CARDINET,112229,14,0,0,0.0,0.0,Paris,17.0,1
216,20,Métro,BOBIGNY-PABLO PICASSO,4752569,5,0,0,0.0,0.0,Bobigny,0.0,1
217,3,RER,CHATELET-LES HALLES-RER,18301464,A,B,0,0.0,0.0,Paris,1.0,2
218,21,Métro,OLYMPIADES,4717069,14,0,0,0.0,0.0,Paris,13.0,1
219,4,RER,LA DEFENSE-RER,16349130,A,0,0,0.0,0.0,Puteaux,0.0,1
220,27,Métro,AUBERVILLIERS-PANTIN-QUATRE CHEMINS,4131018,7,0,0,0.0,0.0,Aubervilliers,0.0,1
221,6,RER,VAL DE FONTENAY,7985198,A,0,0,0.0,0.0,Fontenay-sous-Bois,0.0,1
222,29,Métro,HAVRE-CAUMARTIN,3899956,3,9,0,0.0,0.0,Paris,9.0,2
223,7,RER,MASSY-PALAISEAU,5163200,B,0,0,0.0,0.0,Massy,0.0,1
224,38,Métro,TROCADERO,3618422,6,9,0,0.0,0.0,Paris,16.0,2
225,18,RER,ANTONY,2790880,B,0,0,0.0,0.0,Antony,0.0,1
226,39,Métro,LA COURNEUVE-8 MAI 1945,3611264,7,0,0,0.0,0.0,La Courneuve,0.0,1
227,26,RER,JOINVILLE-LE-PONT,2314407,A,0,0,0.0,0.0,Joinville-le-Pont,0.0,1
228,48,Métro,PORTE D'ORLEANS,3314496,4,0,0,0.0,0.0,Paris,14.0,1
229,30,RER,NANTERRE-UNIVERSITE,2024836,A,0,0,0.0,0.0,Nanterre,0.0,1
230,49,Métro,GAMBETTA,3310515,3,3bis,0,0.0,0.0,Paris,20.0,2
231,34,RER,NOISIEL,1868878,A,0,0,0.0,0.0,Noisiel,0.0,1
232,58,Métro,GEORGE V,2871038,1,0,0,0.0,0.0,Paris,8.0,1
233,35,RER,PORT ROYAL,1824145,B,0,0,0.0,0.0,Paris,5.0,1
234,59,Métro,MARCEL SEMBAT,2845520,9,0,0,0.0,0.0,Boulogne Billancourt,0.0,1
235,38,RER,NOGENT-SUR-MARNE,1703324,A,0,0,0.0,0.0,Nogent-sur-Marne,0.0,1
236,63,Métro,DAUMESNIL,2723508,6,8,0,0.0,0.0,Paris,12.0,2
237,39,RER,FONTENAY-SOUS-BOIS,1586673,A,0,0,0.0,0.0,Fontenay-sous-Bois,0.0,1
238,82,Métro,MAIRIE DES LILAS,2563685,11,0,0,0.0,0.0,Les Lilas,0.0,1
239,46,RER,CHATOU-CROISSY,1230132,A,0,0,0.0,0.0,Chatou,0.0,1
240,84,Métro,PIGALLE,2496923,2,12,0,0.0,0.0,Paris,18.0,2
241,49,RER,LE VESINET-LE PECQ,1156100,A,0,0,0.0,0.0,Le Vésinet,0.0,1
242,88,Métro,ANVERS,2450333,2,0,0,0.0,0.0,Paris,18.0,1
243,57,RER,FONTAINE-MICHALON,425164,B,0,0,0.0,0.0,Antony,0.0,1
244,89,Métro,PORTE DE VERSAILLES,2449859,12,0,0,0.0,0.0,Paris,15.0,1
245,3,Métro,GARE DE LYON,22232810,1,14,A,0.0,0.0,Paris,12.0,3
246,62,RER,GIF-SUR-YVETTE,324780,B,0,0,0.0,0.0,Gif sur Yvette,0.0,1
247,96,Métro,PORTE DE CLICHY,2352078,13,14,0,0.0,0.0,Paris,17.0,2
248,5,Métro,GARE DE L'EST,11715190,4,5,7,0.0,0.0,Paris,10.0,3
249,64,RER,PARC DE SCEAUX,286202,B,0,0,0.0,0.0,Antony,0.0,1
250,105,Métro,SAINT-DENIS-PORTE DE PARIS,2236506,13,0,0,0.0,0.0,Saint Denis,0.0,1
251,7,Métro,LA DEFENSE,8616589,1,0,0,0.0,0.0,Puteaux,0.0,1
252,109,Métro,LES COURTILLES,2194218,13,0,0,0.0,0.0,Asnières sur Seine,0.0,1
253,9,Métro,REPUBLIQUE,6988692,3,5,8,9.0,11.0,Paris,11.0,5
254,123,Métro,PORTE DE LA VILLETTE,1981878,7,0,0,0.0,0.0,Paris,19.0,1
255,12,Métro,BELLEVILLE,5680933,2,11,0,0.0,0.0,Paris,10.0,2
256,133,Métro,DENFERT-ROCHEREAU,1818730,4,6,0,0.0,0.0,Paris,14.0,2
257,30,Métro,REUILLY-DIDEROT,3860750,1,8,0,0.0,0.0,Paris,12.0,2
258,139,Métro,LOUISE MICHEL,1735982,3,0,0,0.0,0.0,Levallois-Perret,0.0,1
259,34,Métro,CHATEAU DE VINCENNES,3735738,1,0,0,0.0,0.0,Vincennes,0.0,1
260,157,Métro,COURONNES,1623475,2,0,0,0.0,0.0,Paris,11.0,1
261,35,Métro,PALAIS-ROYAL,3678654,1,7,0,0.0,0.0,Paris,1.0,2
262,163,Métro,MALAKOFF-PLATEAU DE VANVES,1581749,13,0,0,0.0,0.0,Malakoff,0.0,1
263,36,Métro,PONT DE NEUILLY,3678074,1,0,0,0.0,0.0,Neuilly Sur Seine,0.0,1
264,165,Métro,PORTE DE CHAMPERRET,1576691,3,0,0,0.0,0.0,Paris,17.0,1
265,42,Métro,SAINT-MANDE-TOURELLE,3487584,1,0,0,0.0,0.0,Saint Mandé,0.0,1
266,168,Métro,SAINT-AUGUSTIN,1563979,9,0,0,0.0,0.0,Paris,8.0,1
267,43,Métro,MAIRIE DE MONTROUGE,3456791,4,0,0,0.0,0.0,Montrouge,0.0,1
268,171,Métro,SAINT-AMBROISE,1544174,9,0,0,0.0,0.0,Paris,11.0,1
269,47,Métro,MAIRIE DE CLICHY,3316323,13,0,0,0.0,0.0,Clichy,0.0,1
270,185,Métro,PERNETY,1395770,13,0,0,0.0,0.0,Paris,14.0,1
271,52,Métro,MARCADET-POISSONNIERS,3169019,4,12,0,0.0,0.0,Paris,18.0,2
272,186,Métro,MAISONS-ALFORT-STADE,1393467,8,0,0,0.0,0.0,Maisons -Alfort,0.0,1
273,54,Métro,JAURES,3148221,2,5,7bis,0.0,0.0,Paris,19.0,3
274,187,Métro,RAMBUTEAU,1389112,11,0,0,0.0,0.0,Paris,3.0,1
275,55,Métro,PYRAMIDES,3048580,7,14,0,0.0,0.0,Paris,1.0,2
276,188,Métro,RUE DES BOULETS,1383972,9,0,0,0.0,0.0,Paris,11.0,1
277,61,Métro,COUR SAINT-EMILION,2792734,14,0,0,0.0,0.0,Paris,12.0,1
278,190,Métro,PASSY,1380218,6,0,0,0.0,0.0,Paris,16.0,1
279,66,Métro,INVALIDES,2678838,8,13,0,0.0,0.0,Paris,7.0,2
280,193,Métro,SAINT-PHILIPPE-DU-ROULE,1353374,9,0,0,0.0,0.0,Paris,8.0,1
281,69,Métro,PONT DE SEVRES,2651763,9,0,0,0.0,0.0,Boulogne Billancourt,0.0,1
282,197,Métro,LOUVRE,1328080,1,0,0,0.0,0.0,Paris,1.0,1
283,70,Métro,BIR-HAKEIM,2644407,6,0,0,0.0,0.0,Paris,15.0,1
284,200,Métro,LES AGNETTES,1283180,13,0,0,0.0,0.0,Asnières sur Seine,0.0,1
285,72,Métro,SAINT-DENIS-UNIVERSITE,2626602,13,0,0,0.0,0.0,Saint Denis,0.0,1
286,201,Métro,PORTE DE LA CHAPELLE,1276901,12,0,0,0.0,0.0,Paris,18.0,1
287,77,Métro,HOCHE,2616315,5,0,0,0.0,0.0,Pantin,0.0,1
288,202,Métro,PLACE MONGE,1269871,7,0,0,0.0,0.0,Paris,6.0,1
289,80,Métro,PORTE DE SAINT-CLOUD,2576290,9,0,0,0.0,0.0,Paris,16.0,1
290,208,Métro,BROCHANT,1227003,13,0,0,0.0,0.0,Paris,17.0,1
291,83,Métro,PERE LACHAISE,2503028,2,3,0,0.0,0.0,Paris,20.0,2
292,215,Métro,CARREFOUR PLEYEL,1205747,13,0,0,0.0,0.0,Saint Denis,0.0,1
293,91,Métro,ODEON,2412888,4,10,0,0.0,0.0,Paris,6.0,2
294,226,Métro,CORVISART,1157408,6,0,0,0.0,0.0,Paris,13.0,1
295,94,Métro,COLONEL FABIEN,2378863,2,0,0,0.0,0.0,Paris,10.0,1
296,233,Métro,IENA,1093805,9,0,0,0.0,0.0,Paris,16.0,1
297,102,Métro,PORTE DE BAGNOLET,2244934,3,0,0,0.0,0.0,Paris,20.0,1
298,241,Métro,VAVIN,1009201,4,0,0,0.0,0.0,Paris,14.0,1
299,103,Métro,LE KREMLIN-BICETRE,2244686,7,0,0,0.0,0.0,Kremlin-Bicêtre,0.0,1
300,247,Métro,QUATRE-SEPTEMBRE,938821,3,0,0,0.0,0.0,Paris,2.0,1
301,116,Métro,MAIRIE D'ISSY,2083392,12,0,0,0.0,0.0,Issy Les Moulineaux,0.0,1
302,251,Métro,SEVRES-LECOURBE,923347,6,0,0,0.0,0.0,Paris,15.0,1
303,124,Métro,DUROC,1972711,10,13,0,0.0,0.0,Paris,7.0,2
304,260,Métro,ABBESSES,854658,12,0,0,0.0,0.0,Paris,18.0,1
305,126,Métro,CHEVALERET,1923876,6,0,0,0.0,0.0,Paris,13.0,1
306,264,Métro,AVENUE EMILE ZOLA,823178,10,0,0,0.0,0.0,Paris,15.0,1
307,132,Métro,GONCOURT,1829817,11,0,0,0.0,0.0,Paris,11.0,1
308,267,Métro,MONTGALLET,804190,8,0,0,0.0,0.0,Paris,12.0,1
309,134,Métro,CHARONNE,1815517,9,0,0,0.0,0.0,Paris,12.0,1
310,269,Métro,FILLES DU CALVAIRE,784137,8,0,0,0.0,0.0,Paris,3.0,1
311,144,Métro,SAINT-GERMAIN DES PRES,1712923,4,0,0,0.0,0.0,Paris,6.0,1
312,274,Métro,TRINITE-D'ESTIENNE D'ORVES,757661,12,0,0,0.0,0.0,Paris,9.0,1
313,146,Métro,TERNES,1703632,2,0,0,0.0,0.0,Paris,17.0,1
314,281,Métro,CHEMIN VERT,685924,8,0,0,0.0,0.0,Paris,11.0,1
315,151,Métro,JOURDAIN,1683473,11,0,0,0.0,0.0,Paris,20.0,1
316,284,Métro,PONT NEUF,605030,7,0,0,0.0,0.0,Paris,4.0,1
317,176,Métro,PARMENTIER,1499805,3,0,0,0.0,0.0,Paris,11.0,1
318,290,Métro,KLEBER,513955,6,0,0,0.0,0.0,Paris,16.0,1
319,195,Métro,SAINT-MAUR,1331250,3,0,0,0.0,0.0,Paris,11.0,1
320,294,Métro,ASSEMBLEE NATIONALE,395997,12,0,0,0.0,0.0,Paris,7.0,1
321,199,Métro,LAMARCK-CAULAINCOURT,1283881,12,0,0,0.0,0.0,Paris,18.0,1
322,297,Métro,BOLIVAR,278933,7bis,0,0,0.0,0.0,Paris,19.0,1
323,204,Métro,CADET,1240692,7,0,0,0.0,0.0,Paris,9.0,1
324,298,Métro,DANUBE,266623,7bis,0,0,0.0,0.0,Paris,19.0,1
325,212,Métro,SAINT-MARCEL,1211679,5,0,0,0.0,0.0,Paris,13.0,1
326,300,Métro,BUTTES-CHAUMONT,242027,7bis,0,0,0.0,0.0,Paris,19.0,1
327,213,Métro,CRETEIL-L'ECHAT,1209224,8,0,0,0.0,0.0,Créteil,0.0,1
328,302,Métro,PELLEPORT,178325,3bis,0,0,0.0,0.0,Paris,20.0,1
329,223,Métro,NOTRE-DAME-DE-LORETTE,1176983,12,0,0,0.0,0.0,Paris,9.0,1
330,8,RER,NOISY-LE-GRAND-MONT D'EST,4492037,A,0,0,0.0,0.0,Noisy-le-Grand,0.0,1
331,228,Métro,PORTE DE CHARENTON,1146232,8,0,0,0.0,0.0,Paris,12.0,1
332,13,RER,NEUILLY-PLAISANCE,3726798,A,0,0,0.0,0.0,Neuilly-sur-Seine,0.0,1
333,236,Métro,EXELMANS,1055609,9,0,0,0.0,0.0,Paris,16.0,1
334,15,RER,NOISY-CHAMPS,3393192,A,0,0,0.0,0.0,Champs-sur-Marne,0.0,1
335,240,Métro,EDGAR QUINET,1011168,6,0,0,0.0,0.0,Paris,14.0,1
336,19,RER,SAINT-MICHEL-NOTRE-DAME,2716148,B,0,0,0.0,0.0,Paris,0.0,1
337,243,Métro,BREGUET-SABIN,1003059,5,0,0,0.0,0.0,Paris,11.0,1
338,23,RER,BOURG-LA-REINE,2409369,B,0,0,0.0,0.0,Bourg la Reine,0.0,1
339,245,Métro,LA TOUR-MAUBOURG,965136,8,0,0,0.0,0.0,Paris,7.0,1
340,32,RER,ARCUEIL-CACHAN,1900758,B,0,0,0.0,0.0,Arcueil,0.0,1
341,250,Métro,SOLFERINO,923536,12,0,0,0.0,0.0,Paris,7.0,1
342,36,RER,LA CROIX DE BERNY,1799762,B,0,0,0.0,0.0,Antony,0.0,1
343,255,Métro,MAISONS-ALFORT-LES JUILLIOTTES,905627,8,0,0,0.0,0.0,Maisons -Alfort,0.0,1
344,42,RER,ORSAY-VILLE,1383444,B,0,0,0.0,0.0,Orsay,0.0,1
345,265,Métro,SAINT-SEBASTIEN-FROISSART,816381,8,0,0,0.0,0.0,Paris,3.0,1
346,50,RER,LES BACONNETS,1098252,B,0,0,0.0,0.0,Antony,0.0,1
347,266,Métro,SAINT-FRANCOIS-XAVIER,812792,13,0,0,0.0,0.0,Paris,7.0,1
348,52,RER,LE VESINET-CENTRE,760964,A,0,0,0.0,0.0,Le Vésinet,0.0,1
349,272,Métro,EUROPE,769896,3,0,0,0.0,0.0,Paris,8.0,1
350,53,RER,FONTENAY-AUX-ROSES,665966,B,0,0,0.0,0.0,Fontenay aux roses,0.0,1
351,273,Métro,SULLY-MORLAND,767233,7,0,0,0.0,0.0,Paris,4.0,1
352,54,RER,PALAISEAU,518346,B,0,0,0.0,0.0,Palaiseau,0.0,1
353,285,Métro,PICPUS,595063,6,0,0,0.0,0.0,Paris,12.0,1
354,58,RER,LE GUICHET,389736,B,0,0,0.0,0.0,Orsay,0.0,1
355,295,Métro,SAINT-FARGEAU,339164,3bis,0,0,0.0,0.0,Paris,8.0,1
356,63,RER,MASSY-VERRIERES,296614,B,0,0,0.0,0.0,Massy,0.0,1
357,10,RER,CHARLES DE GAULLE-ETOILE-RER,4070214,A,0,0,0.0,0.0,Paris,17.0,1
358,11,RER,AUBER,3956779,A,0,0,0.0,0.0,Paris,9.0,1
359,14,RER,RUEIL-MALMAISON,3408182,A,0,0,0.0,0.0,Rueil-Malmaison,0.0,1
360,20,RER,SAINT-GERMAIN-EN-LAYE,2644464,A,0,0,0.0,0.0,Saint-Germain-en-Laye,0.0,1
361,22,RER,TORCY,2448031,A,0,0,0.0,0.0,Torcy,0.0,1
362,24,RER,DENFERT-ROCHEREAU-RER,2351759,B,0,0,0.0,0.0,Paris,14.0,1
363,27,RER,CHAMPIGNY,2209619,A,0,0,0.0,0.0,Saint-Maur des Fossés,0.0,1
364,29,RER,SAINT-MAUR-CRETEIL,2151064,A,0,0,0.0,0.0,Saint-Maur des Fossés,0.0,1
365,40,RER,SUCY-BONNEUIL,1546784,A,0,0,0.0,0.0,Sucy-en-Brie,0.0,1
366,45,RER,LE PARC DE SAINT-MAUR,1240624,A,0,0,0.0,0.0,Saint-Maur des Fossés,0.0,1
367,47,RER,LA VARENNE-CHENNEVIERES,1209310,A,0,0,0.0,0.0,saint-Maur des Fossés,0.0,1
368,56,RER,PALAISEAU-VILLEBON,444921,B,0,0,0.0,0.0,Palaiseau,0.0,1
369,60,RER,SCEAUX,358354,B,0,0,0.0,0.0,sceaux,0.0,1
370,65,RER,COURCELLE-SUR-YVETTE,280118,B,0,0,0.0,0.0,Gif sur Yvette,0.0,1
