Year,Country,CO2 emissions (metric tons per capita),GDP (current US$),"Life expectancy at birth, total (years)","GNI per capita, Atlas method (current US$)","School enrollment, primary (% gross)","Population, total",Transport services (% of commercial service exports),"Transport services (% of service exports, BoP)",Public credit registry coverage (% of adults)
2011 [YR2011],United Kingdom,7.02542460093701,2659882040934.51,80.9512195121951,41060,104.425712585449,63258810,9.80011399582889,9.68768514100231,0
2012 [YR2012],United Kingdom,7.33247132682362,2704017284861.91,80.9048780487805,41690,106.246078491211,63700215,10.2187245417867,10.1052279737963,0
2013 [YR2013],United Kingdom,7.06490255865771,2783251090198.95,81.0048780487805,42730,107.111999511719,64128273,9.62371268090866,9.50918182711997,0
2014 [YR2014],United Kingdom,6.42159819144514,3065521109394.94,81.3048780487805,44400,102.255546569824,64602298,9.31437994002124,9.21003302640241,0
2015 [YR2015],United Kingdom,6.14854495774701,2932784751846.27,80.9560975609756,44340,101.925270080566,65116219,9.0201344568569,8.92165956726653,0
2016 [YR2016],United Kingdom,5.77474166798541,2693247611031.81,81.1560975609756,42940,101.33521270752,65611593,8.68139907884214,8.59415369272997,0
2017 [YR2017],United Kingdom,5.54626594443601,2662484018735.82,81.2560975609756,41280,101.154556274414,66058859,8.49549265596063,8.41495708928978,0
2018 [YR2018],United Kingdom,5.39870813789348,2857316524862.61,81.2560975609756,41740,100.995552062988,66460344,8.13584377811655,8.0664270544265,0
2019 [YR2019],United Kingdom,,2830813507746.87,81.2048780487805,42130,,66836327,9.58511027898612,9.48876755430471,0
2020 [YR2020],United Kingdom,,2707743777173.91,,,,67215293,6.01252242971582,5.94848975014394,..
2011 [YR2011],France,5.10431227537594,2861408170264.6,82.1146341463415,44350,102.691101074219,65342789,20.8598027255734,20.754652632414,43.3
2012 [YR2012],France,5.12231119022055,2683825225092.63,81.9682926829268,43380,102.523162841797,65659814,20.2620303577141,20.1803116558227,42.4
2013 [YR2013],France,5.10055617017218,2811077725703.59,82.219512195122,43780,102.276443481445,65998685,18.1298827751133,18.0507751878638,43.6
2014 [YR2014],France,4.59237682939366,2852165760630.27,82.719512195122,43320,101.280349731445,66312067,17.6414952895855,17.5617234190014,44.5
2015 [YR2015],France,4.66608659650847,2438207896251.84,82.3219512195122,41100,101.989639282227,66548272,16.4330370848029,16.3835987225805,45.1
2016 [YR2016],France,4.68661220239091,2471285607081.72,82.5731707317073,39070,102.260429382324,66724104,15.5832674687404,15.5398206893857,46.7
2017 [YR2017],France,4.72757562163375,2588740901639.81,82.5756097560976,38270,102.417221069336,66918020,16.8071917135839,16.7303577567668,47.2
2018 [YR2018],France,4.61924120513374,2786502569559.77,82.7243902439024,41080,102.874000549316,67101930,15.342621447838,15.312337021041,47.1
2019 [YR2019],France,,2715518274227.45,82.5780487804878,42290,,67248926,15.9351279924058,15.9051945392033,47
2020 [YR2020],France,,2603004395901.95,,,,67391582,17.5562737626671,17.5147692615775,..
2011 [YR2011],Germany,9.29779081983736,3744408602683.94,80.4365853658537,47220,102.46656036377,80274983,23.847167346901,23.3560799027728,1.3
2012 [YR2012],Germany,9.44994992466537,3527344944139.83,80.5390243902439,46530,101.614196777344,80425823,22.6399006204939,22.1911585256178,1.3
2013 [YR2013],Germany,9.64255894664068,3732743446218.92,80.490243902439,47190,100.838249206543,80645605,22.2997519523786,21.8590328331391,0
2014 [YR2014],Germany,9.10678232951564,3883920155292.26,81.090243902439,47620,100.538642883301,80982500,20.7475989999465,20.3830847983321,1.3
2015 [YR2015],Germany,9.08729093927033,3356235704119.75,80.6414634146341,45750,101.667449951172,81686611,20.4987968137278,20.1302602994041,1.6
2016 [YR2016],Germany,9.0730063894536,3467498002104.33,80.990243902439,44250,102.677558898926,82348669,19.1542948456117,18.8389128435335,1.9
2017 [YR2017],Germany,8.85829369906254,3673506280844.4,80.9926829268293,43650,104.022361755371,82657002,19.4766086798176,19.2229955869737,1.9
2018 [YR2018],Germany,8.55838981170216,3961831911429.22,80.8926829268293,47140,103.894561767578,82905782,20.0226992076715,19.6987014741511,2
2019 [YR2019],Germany,,3861123558039.21,80.9414634146342,48550,,83092962,20.1157874937487,19.798902027009,1.8
2020 [YR2020],Germany,,3806060140124.52,,46980,,83240525,17.7883920688527,17.4741662002879,..
2011 [YR2011],Japan,9.48244975866952,6157459594823.72,82.5912195121951,46880,,127833000,30.2779847385464,29.6429172779982,..
2012 [YR2012],Japan,9.81140649852306,6203213121334.12,83.0960975609756,49480,,127629000,32.0754277325681,31.348980772731,..
2013 [YR2013],Japan,9.89367962650555,5155717056270.83,83.3319512195122,48280,,127445000,29.7772812161184,29.210150266449,0
2014 [YR2014],Japan,9.58405355290864,4850413536037.84,83.5878048780488,43950,,127276000,24.8431331021665,24.1664071636684,0
2015 [YR2015],Japan,9.29283236721435,4389475622588.97,83.7939024390244,38840,,127141000,22.3564654669356,21.7602406004772,0
2016 [YR2016],Japan,9.22394197021634,4922538141454.62,83.9848780487805,37860,,126994511,18.5909560499129,18.0480721708911,0
2017 [YR2017],Japan,9.08563914300274,4866864409657.68,84.099756097561,38490,,126785797,18.7653103059712,18.2777744528832,0
2018 [YR2018],Japan,8.7422577098865,4954806619995.19,84.2109756097561,41150,,126529100,15.2865021972046,14.9143764381904,0
2019 [YR2019],Japan,,5064872875604.59,84.3563414634146,41580,,126264931,12.7865703046233,12.5100611687583,0
2020 [YR2020],Japan,,,,,,125836021,13.2107686635571,12.8894718400739,..
2011 [YR2011],United States,16.599403740534,15542581104000,78.6414634146341,50580,99.3898773193359,311583481,13.3077877210971,12.8645863225935,..
2012 [YR2012],United States,15.7711446187591,16197007349000,78.7414634146342,52760,99.1653213500977,313877662,13.315748014861,12.8851000697992,..
2013 [YR2013],United States,16.1029578354008,16784849196000,78.7414634146342,53930,99.455436706543,316059947,12.8999152905563,12.5081476684118,0
2014 [YR2014],United States,16.0263790723251,17527163695000,78.8414634146341,55840,99.6733779907227,318386329,12.3048867854894,11.9846386027789,0
2015 [YR2015],United States,15.535342110601,18238300569000,78.690243902439,56740,100.299911499023,320738994,11.2840414926003,10.9890481737195,0
2016 [YR2016],United States,15.1317468158119,18745075687000,78.5390243902439,57270,101.362861633301,323071755,10.7355290639592,10.4772666707665,0
2017 [YR2017],United States,14.8058824221278,19542979183000,78.5390243902439,59460,101.821441650391,325122128,10.6536502546689,10.3980308000597,0
2018 [YR2018],United States,15.2408745833286,20611860934000,78.6390243902439,63510,101.256561279297,326838199,11.0946787803218,10.8123307112909,0
2019 [YR2019],United States,,21433224697000,78.7878048780488,65910,,328329953,10.6754563300226,10.4005343502735,0
2020 [YR2020],United States,,20936600000000,,,,329484123,8.48817542328817,8.20807862186345,..